"","year","month","spei"
"102",1909,6,-0.774785280227661
"103",1909,7,-0.549244999885559
"104",1909,8,-0.936480343341827
"105",1909,9,-0.62780499458313
"106",1909,10,-0.223101928830147
"107",1909,11,-0.152206748723984
"108",1909,12,0.326691418886185
"109",1910,1,0.705072820186615
"110",1910,2,1.0023707151413
"111",1910,3,0.625097274780273
"112",1910,4,0.802524626255035
"113",1910,5,1.03565537929535
"114",1910,6,1.39461731910706
"115",1910,7,1.46125996112823
"116",1910,8,0.953271389007568
"117",1910,9,1.40458476543427
"118",1910,10,1.36370265483856
"119",1910,11,1.92149293422699
"120",1910,12,1.65346848964691
"121",1911,1,1.34194135665894
"122",1911,2,1.0223788022995
"123",1911,3,1.18551397323608
"124",1911,4,1.00172507762909
"125",1911,5,1.08147263526917
"126",1911,6,1.1029646396637
"127",1911,7,0.53740268945694
"128",1911,8,0.253862529993057
"129",1911,9,-0.330622941255569
"130",1911,10,-0.0650575682520866
"131",1911,11,-1.10076129436493
"132",1911,12,-1.00305080413818
"133",1912,1,-1.06397879123688
"134",1912,2,-0.722580850124359
"135",1912,3,-0.3475122153759
"136",1912,4,0.038034338504076
"137",1912,5,-0.168814405798912
"138",1912,6,-0.33741757273674
"139",1912,7,-0.271588683128357
"140",1912,8,0.0752330124378204
"141",1912,9,0.753086924552917
"142",1912,10,0.895567655563354
"143",1912,11,1.16974794864655
"144",1912,12,1.02109563350677
"145",1913,1,0.978911638259888
"146",1913,2,0.716179728507996
"147",1913,3,0.113851934671402
"148",1913,4,-0.138175413012505
"149",1913,5,-0.170198351144791
"150",1913,6,-0.454103708267212
"151",1913,7,0.806422770023346
"152",1913,8,0.836180090904236
"153",1913,9,0.562557816505432
"154",1913,10,-0.112640187144279
"155",1913,11,-0.0561795346438885
"156",1913,12,0.184240728616714
"157",1914,1,0.248070016503334
"158",1914,2,0.185280278325081
"159",1914,3,0.636699140071869
"160",1914,4,0.540643334388733
"161",1914,5,1.09849512577057
"162",1914,6,1.08474099636078
"163",1914,7,0.681781947612762
"164",1914,8,0.266634941101074
"165",1914,9,0.388335198163986
"166",1914,10,0.42796465754509
"167",1914,11,0.205767273902893
"168",1914,12,0.303426653146744
"169",1915,1,0.951728701591492
"170",1915,2,1.43701124191284
"171",1915,3,1.28467428684235
"172",1915,4,1.36484491825104
"173",1915,5,0.898713231086731
"174",1915,6,0.970617055892944
"175",1915,7,0.911708414554596
"176",1915,8,1.52202892303467
"177",1915,9,1.22576487064362
"178",1915,10,2.30215930938721
"179",1915,11,2.23829817771912
"180",1915,12,2.25756430625916
"181",1916,1,1.72966575622559
"182",1916,2,1.65525102615356
"183",1916,3,1.91014671325684
"184",1916,4,2.20955848693848
"185",1916,5,2.17759299278259
"186",1916,6,1.97651612758636
"187",1916,7,1.44449019432068
"188",1916,8,0.576388835906982
"189",1916,9,1.46896719932556
"190",1916,10,0.572042763233185
"191",1916,11,0.650643587112427
"192",1916,12,1.05451130867004
"193",1917,1,1.71322655677795
"194",1917,2,1.64782464504242
"195",1917,3,1.8273960351944
"196",1917,4,1.70820271968842
"197",1917,5,1.58597731590271
"198",1917,6,1.34725749492645
"199",1917,7,1.51925981044769
"200",1917,8,1.58000147342682
"201",1917,9,0.409738689661026
"202",1917,10,1.16292369365692
"203",1917,11,1.36658942699432
"204",1917,12,0.944927573204041
"205",1918,1,0.289419323205948
"206",1918,2,0.036107525229454
"207",1918,3,-0.639274775981903
"208",1918,4,-0.826368808746338
"209",1918,5,-0.454727441072464
"210",1918,6,0.333660989999771
"211",1918,7,0.1387979388237
"212",1918,8,0.407927960157394
"213",1918,9,0.832928240299225
"214",1918,10,0.39769971370697
"215",1918,11,-0.323377102613449
"216",1918,12,-0.226736426353455
"217",1919,1,0.207761511206627
"218",1919,2,0.320511519908905
"219",1919,3,0.546379089355469
"220",1919,4,1.24065017700195
"221",1919,5,1.11937069892883
"222",1919,6,1.2965270280838
"223",1919,7,1.87300586700439
"224",1919,8,1.59760022163391
"225",1919,9,1.72702717781067
"226",1919,10,1.53291344642639
"227",1919,11,1.99255573749542
"228",1919,12,1.82226383686066
"229",1920,1,1.67627441883087
"230",1920,2,1.57332944869995
"231",1920,3,1.28940403461456
"232",1920,4,0.806150794029236
"233",1920,5,0.948681056499481
"234",1920,6,0.838694632053375
"235",1920,7,-0.0141573585569859
"236",1920,8,-0.0754459425806999
"237",1920,9,-0.423549234867096
"238",1920,10,-0.965596735477448
"239",1920,11,-1.80295693874359
"240",1920,12,-1.32771372795105
"241",1921,1,-1.55247461795807
"242",1921,2,-1.36894917488098
"243",1921,3,-1.43512356281281
"244",1921,4,-1.3377537727356
"245",1921,5,-1.14873504638672
"246",1921,6,-1.2293074131012
"247",1921,7,-1.51161646842957
"248",1921,8,-1.53209364414215
"249",1921,9,-1.74460291862488
"250",1921,10,-1.6386011838913
"251",1921,11,-1.33269870281219
"252",1921,12,-1.78086233139038
"253",1922,1,-1.58929586410522
"254",1922,2,-1.50218200683594
"255",1922,3,-0.991340458393097
"256",1922,4,-0.681318283081055
"257",1922,5,-1.05063545703888
"258",1922,6,-1.27590048313141
"259",1922,7,-1.08338105678558
"260",1922,8,-1.00312829017639
"261",1922,9,0.122991159558296
"262",1922,10,0.935634672641754
"263",1922,11,0.792159736156464
"264",1922,12,0.739969551563263
"265",1923,1,0.75724071264267
"266",1923,2,0.733660995960236
"267",1923,3,0.492352306842804
"268",1923,4,0.224779352545738
"269",1923,5,0.153814703226089
"270",1923,6,0.830809772014618
"271",1923,7,0.809953391551971
"272",1923,8,0.944453835487366
"273",1923,9,0.0912453904747963
"274",1923,10,-0.629604458808899
"275",1923,11,0.320369064807892
"276",1923,12,0.748753607273102
"277",1924,1,0.633166313171387
"278",1924,2,0.637254893779755
"279",1924,3,0.678037226200104
"280",1924,4,0.471108824014664
"281",1924,5,1.01947391033173
"282",1924,6,0.482417017221451
"283",1924,7,0.950599610805511
"284",1924,8,1.26239120960236
"285",1924,9,1.30939090251923
"286",1924,10,1.14736461639404
"287",1924,11,-0.00508964294567704
"288",1924,12,-0.261335581541061
"289",1925,1,-0.407844007015228
"290",1925,2,-0.16531990468502
"291",1925,3,-0.0645416080951691
"292",1925,4,-0.000254905404290184
"293",1925,5,-0.0408429428935051
"294",1925,6,0.320492267608643
"295",1925,7,-0.186192467808723
"296",1925,8,-0.487621009349823
"297",1925,9,0.343648582696915
"298",1925,10,0.488254696130753
"299",1925,11,1.58001589775085
"300",1925,12,1.61230134963989
"301",1926,1,1.72720646858215
"302",1926,2,1.43701124191284
"303",1926,3,1.25616347789764
"304",1926,4,1.06344068050385
"305",1926,5,0.913654685020447
"306",1926,6,0.659666955471039
"307",1926,7,1.63906812667847
"308",1926,8,2.02841138839722
"309",1926,9,1.75683665275574
"310",1926,10,2.18350958824158
"311",1926,11,1.46656501293182
"312",1926,12,1.61022591590881
"313",1927,1,1.81866431236267
"314",1927,2,1.83005678653717
"315",1927,3,2.08459734916687
"316",1927,4,2.0925567150116
"317",1927,5,2.16870903968811
"318",1927,6,1.90515184402466
"319",1927,7,0.836344957351685
"320",1927,8,0.0788462236523628
"321",1927,9,0.0800601243972778
"322",1927,10,-0.547979593276978
"323",1927,11,-0.454273372888565
"324",1927,12,-0.595414876937866
"325",1928,1,-1.03493463993073
"326",1928,2,-1.04568541049957
"327",1928,3,-0.998732805252075
"328",1928,4,-1.08016240596771
"329",1928,5,-0.618210434913635
"330",1928,6,-0.706216931343079
"331",1928,7,-0.764788568019867
"332",1928,8,-0.670936822891235
"333",1928,9,-0.489191085100174
"334",1928,10,-0.0931333303451538
"335",1928,11,-0.064511701464653
"336",1928,12,-0.0402597673237324
"337",1929,1,0.365964442491531
"338",1929,2,0.561831712722778
"339",1929,3,-0.00720586720854044
"340",1929,4,0.359434425830841
"341",1929,5,-0.316005825996399
"342",1929,6,0.103877075016499
"343",1929,7,0.229648932814598
"344",1929,8,0.0157719552516937
"345",1929,9,-0.823854029178619
"346",1929,10,-0.841090321540833
"347",1929,11,-0.410699784755707
"348",1929,12,-0.524326026439667
"349",1930,1,-0.640372693538666
"350",1930,2,-0.650838673114777
"351",1930,3,-0.262866318225861
"352",1930,4,-0.462412089109421
"353",1930,5,-0.344253867864609
"354",1930,6,-0.98724353313446
"355",1930,7,-0.494961977005005
"356",1930,8,-0.203082054853439
"357",1930,9,0.575735986232758
"358",1930,10,1.29786038398743
"359",1930,11,0.794216454029083
"360",1930,12,1.0358202457428
"361",1931,1,0.966679096221924
"362",1931,2,1.15298974514008
"363",1931,3,1.25085878372192
"364",1931,4,1.44472861289978
"365",1931,5,1.19991505146027
"366",1931,6,1.46132802963257
"367",1931,7,1.06449258327484
"368",1931,8,0.707506418228149
"369",1931,9,0.439324527978897
"370",1931,10,-0.461079180240631
"371",1931,11,-0.0913199186325073
"372",1931,12,-0.451590657234192
"373",1932,1,-0.467015773057938
"374",1932,2,-0.84076452255249
"375",1932,3,-0.819610238075256
"376",1932,4,-0.962918043136597
"377",1932,5,-0.595987975597382
"378",1932,6,-0.67894434928894
"379",1932,7,-0.596281588077545
"380",1932,8,-0.920432269573212
"381",1932,9,-1.21834170818329
"382",1932,10,-0.62732195854187
"383",1932,11,-0.820859372615814
"384",1932,12,-0.888725996017456
"385",1933,1,-0.938575744628906
"386",1933,2,-0.775775671005249
"387",1933,3,-1.14714074134827
"388",1933,4,-1.20817124843597
"389",1933,5,-0.6778484582901
"390",1933,6,-0.268321722745895
"391",1933,7,-0.358493357896805
"392",1933,8,0.153730809688568
"393",1933,9,0.731336891651154
"394",1933,10,0.668537855148315
"395",1933,11,1.39992535114288
"396",1933,12,1.77047395706177
"397",1934,1,1.87659358978271
"398",1934,2,1.67221164703369
"399",1934,3,1.8380823135376
"400",1934,4,1.59491181373596
"401",1934,5,1.22014665603638
"402",1934,6,1.52818691730499
"403",1934,7,1.86440777778625
"404",1934,8,1.8720977306366
"405",1934,9,1.53269004821777
"406",1934,10,1.04296410083771
"407",1934,11,0.54032963514328
"408",1934,12,0.275291830301285
"409",1935,1,0.119117490947247
"410",1935,2,0.376099973917007
"411",1935,3,0.195392578840256
"412",1935,4,0.698812901973724
"413",1935,5,0.573063969612122
"414",1935,6,-0.427192121744156
"415",1935,7,-0.609398126602173
"416",1935,8,-0.726817548274994
"417",1935,9,-0.742897927761078
"418",1935,10,-0.367075979709625
"419",1935,11,-0.520359635353088
"420",1935,12,-0.113044694066048
"421",1936,1,0.154788941144943
"422",1936,2,0.498132944107056
"423",1936,3,0.451733469963074
"424",1936,4,0.252570748329163
"425",1936,5,0.67334645986557
"426",1936,6,1.22421360015869
"427",1936,7,1.20493829250336
"428",1936,8,0.926202356815338
"429",1936,9,1.28552007675171
"430",1936,10,1.43799090385437
"431",1936,11,1.17339694499969
"432",1936,12,0.662870407104492
"433",1937,1,0.579513370990753
"434",1937,2,0.442343473434448
"435",1937,3,1.22421848773956
"436",1937,4,1.71687722206116
"437",1937,5,1.31144404411316
"438",1937,6,1.21871531009674
"439",1937,7,1.53371286392212
"440",1937,8,2.14741396903992
"441",1937,9,2.47643685340881
"442",1937,10,1.93626070022583
"443",1937,11,2.18751859664917
"444",1937,12,2.67267298698425
"445",1938,1,2.6555802822113
"446",1938,2,2.54134964942932
"447",1938,3,2.07554626464844
"448",1938,4,1.80666196346283
"449",1938,5,2.09255504608154
"450",1938,6,1.8735271692276
"451",1938,7,1.33482587337494
"452",1938,8,1.37620866298676
"453",1938,9,0.717025339603424
"454",1938,10,0.67441713809967
"455",1938,11,-0.112194985151291
"456",1938,12,-0.726489722728729
"457",1939,1,-0.593885600566864
"458",1939,2,-0.670243322849274
"459",1939,3,-0.598830163478851
"460",1939,4,-1.14500939846039
"461",1939,5,-0.448574423789978
"462",1939,6,-0.00463060010224581
"463",1939,7,-0.14728194475174
"464",1939,8,-1.03048706054688
"465",1939,9,-0.996216058731079
"466",1939,10,-0.229747205972672
"467",1939,11,0.0935528129339218
"468",1939,12,-0.000254663347732276
"469",1940,1,-0.0954386815428734
"470",1940,2,0.162344440817833
"471",1940,3,0.167175725102425
"472",1940,4,0.490761369466782
"473",1940,5,-0.206175819039345
"474",1940,6,-0.537593841552734
"475",1940,7,0.021549966186285
"476",1940,8,0.681610763072968
"477",1940,9,1.36321806907654
"478",1940,10,1.10144221782684
"479",1940,11,1.26663875579834
"480",1940,12,1.29298138618469
"481",1941,1,1.32060122489929
"482",1941,2,1.50783777236938
"483",1941,3,1.76250612735748
"484",1941,4,2.07309699058533
"485",1941,5,1.96066009998322
"486",1941,6,1.97175335884094
"487",1941,7,1.74402153491974
"488",1941,8,1.55698907375336
"489",1941,9,0.808228671550751
"490",1941,10,0.490659147500992
"491",1941,11,0.667688131332397
"492",1941,12,0.726757764816284
"493",1942,1,0.680468738079071
"494",1942,2,0.794285893440247
"495",1942,3,0.446720093488693
"496",1942,4,0.409992098808289
"497",1942,5,0.36948436498642
"498",1942,6,0.259707599878311
"499",1942,7,0.233502045273781
"500",1942,8,-0.533156394958496
"501",1942,9,-0.605872213840485
"502",1942,10,-0.992965042591095
"503",1942,11,-1.46649444103241
"504",1942,12,-1.54116344451904
"505",1943,1,-1.57222187519073
"506",1943,2,-1.86186242103577
"507",1943,3,-1.96958613395691
"508",1943,4,-2.21463346481323
"509",1943,5,-2.39993119239807
"510",1943,6,-1.99000287055969
"511",1943,7,-1.82100999355316
"512",1943,8,-1.53209364414215
"513",1943,9,-1.12357139587402
"514",1943,10,-1.21997618675232
"515",1943,11,-0.602737486362457
"516",1943,12,-0.52066844701767
"517",1944,1,-0.74604320526123
"518",1944,2,-0.609372973442078
"519",1944,3,-0.10831506550312
"520",1944,4,-0.153664693236351
"521",1944,5,-0.317384719848633
"522",1944,6,-0.401524275541306
"523",1944,7,-0.568722307682037
"524",1944,8,-0.689313232898712
"525",1944,9,-0.890680372714996
"526",1944,10,0.175048828125
"527",1944,11,0.444081574678421
"528",1944,12,0.483774304389954
"529",1945,1,0.922175168991089
"530",1945,2,0.581094086170197
"531",1945,3,0.165250420570374
